date,demand
1/1/2022,112
1/2/2022,113
1/3/2022,113.5
1/4/2022,114
1/5/2022,116
1/6/2022,118
1/7/2022,121
1/8/2022,121
1/9/2022,121
1/10/2022,121
1/11/2022,121
1/12/2022,121
1/13/2022,121
1/14/2022,119
1/15/2022,119
1/16/2022,119
1/17/2022,115.5
1/18/2022,114
1/19/2022,113
1/20/2022,113
1/21/2022,113
1/22/2022,112
1/23/2022,106
1/24/2022,105
1/25/2022,105
1/26/2022,102
1/27/2022,102
1/28/2022,98
1/29/2022,96
1/30/2022,98
1/31/2022,94
2/1/2022,93
2/2/2022,93
2/3/2022,92
2/4/2022,92
2/5/2022,92
2/6/2022,98
2/7/2022,98
2/8/2022,107
2/9/2022,109
2/10/2022,110
2/11/2022,116
2/12/2022,117
2/13/2022,118
2/14/2022,119
2/15/2022,120
2/16/2022,122
2/17/2022,126
2/18/2022,140
2/19/2022,141
2/20/2022,143
2/21/2022,143
2/22/2022,145
2/23/2022,146
2/24/2022,147
2/25/2022,147
2/26/2022,147
2/27/2022,147
2/28/2022,147
3/1/2022,145
3/2/2022,145
3/3/2022,143
3/4/2022,143
3/5/2022,141.5
3/6/2022,138
3/7/2022,135
3/8/2022,135
3/9/2022,135
3/10/2022,135
3/11/2022,135
3/12/2022,135
3/13/2022,132
3/14/2022,130
3/15/2022,124
3/16/2022,124
3/17/2022,124
3/18/2022,124
3/19/2022,124
3/20/2022,124
3/21/2022,124
3/22/2022,127
3/23/2022,127
3/24/2022,127
3/25/2022,129
3/26/2022,131
3/27/2022,133
3/28/2022,143
3/29/2022,148
3/30/2022,151
3/31/2022,154
4/1/2022,154
4/2/2022,156
4/3/2022,157
4/4/2022,161
4/5/2022,163
4/6/2022,168
4/7/2022,170
4/8/2022,171
4/9/2022,171
4/10/2022,171
4/11/2022,171
4/12/2022,172
4/13/2022,171
4/14/2022,171
4/15/2022,170
4/16/2022,170
4/17/2022,169
4/18/2022,165.5
4/19/2022,165.5
4/20/2022,165.5
4/21/2022,162
4/22/2022,158
4/23/2022,156
4/24/2022,156
4/25/2022,154
4/26/2022,154
4/27/2022,154
4/28/2022,154
4/29/2022,153
4/30/2022,153
5/1/2022,154
5/2/2022,154
5/3/2022,154
5/4/2022,154
5/5/2022,154
5/6/2022,154
5/7/2022,156
5/8/2022,156
5/9/2022,156
5/10/2022,158
5/11/2022,161
5/12/2022,161
5/13/2022,162
5/14/2022,170
5/15/2022,178
5/16/2022,181
5/17/2022,181
5/18/2022,182
5/19/2022,188.5
5/20/2022,197
5/21/2022,198
5/22/2022,197
5/23/2022,197
5/24/2022,199
5/25/2022,198
5/26/2022,198
5/27/2022,198
5/28/2022,195
5/29/2022,195
5/30/2022,194
5/31/2022,189
6/1/2022,189
6/2/2022,189
6/3/2022,189
6/4/2022,187
6/5/2022,182
6/6/2022,182
6/7/2022,182
6/8/2022,181
6/9/2022,180
6/10/2022,179
6/11/2022,180
6/12/2022,180
